COD_DISCIPLINA,NOME_DISCIPLINA,COD_TURMA,VAGAS_OFERECIDAS,DIA_SEMANA,HR_INICIO,HR_FIM,TIPO_AULA,COD_CURSO,NOME_UNIDADE,ITEM_TABELA,DIA_ITEM,DT_INICIO_PERIODO,DT_FIM_PERIODO,COD_OPERADOR,NOME_USUARIO,VERSAO_CURSO,CH_TEORICA,CH_PRATICA,CH_ESTAGIO
CI250,Trabalho de Graduação em Algoritmos e Grafos I,A,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232503,ANDRE LUIS VIGNATTI,2011 - Ciência da Computação,120,,
CI250,Trabalho de Graduação em Algoritmos e Grafos I,B,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232503,ANDRE LUIS VIGNATTI,2011 - Ciência da Computação,120,,
CI250,Trabalho de Graduação em Algoritmos e Grafos I,C,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232503,ANDRE LUIS VIGNATTI,2011 - Ciência da Computação,120,,
CI251,Trabalho de Graduação em Algoritmos e Grafos II,A,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232503,ANDRE LUIS VIGNATTI,2011 - Ciência da Computação,120,,
CI251,Trabalho de Graduação em Algoritmos e Grafos II,B,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,256970,STAEL REGINA PADILHA,2011 - Ciência da Computação,120,,
CI251,Trabalho de Graduação em Algoritmos e Grafos II,C,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232503,ANDRE LUIS VIGNATTI,2011 - Ciência da Computação,120,,
CI072,TRABALHO DE GRADUACAO EM BANCO DE DADOS I,A,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,60,60,
CI072,TRABALHO DE GRADUACAO EM BANCO DE DADOS I,B,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,60,60,
CI072,TRABALHO DE GRADUACAO EM BANCO DE DADOS I,C,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,60,60,
CI072,TRABALHO DE GRADUACAO EM BANCO DE DADOS I,D,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,60,60,
CI072,TRABALHO DE GRADUACAO EM BANCO DE DADOS I,E,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,60,60,
CI073,TRABALHO DE GRADUACAO EM BANCO DE DADOS II,A,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,60,60,
CI073,TRABALHO DE GRADUACAO EM BANCO DE DADOS II,B,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,60,60,
CI073,TRABALHO DE GRADUACAO EM BANCO DE DADOS II,C,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,60,60,
CI073,TRABALHO DE GRADUACAO EM BANCO DE DADOS II,D,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232503,ANDRE LUIS VIGNATTI,2011 - Ciência da Computação,60,60,
CI073,TRABALHO DE GRADUACAO EM BANCO DE DADOS II,E,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,3251,GILCELLY FERNANDA BAHL,2011 - Ciência da Computação,60,60,
CI070,TRABALHO DE GRADUACAO EM EMGENHARIA DE SOFTWARE I,A,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,60,60,
CI070,TRABALHO DE GRADUACAO EM EMGENHARIA DE SOFTWARE I,C,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,3251,GILCELLY FERNANDA BAHL,2011 - Ciência da Computação,60,60,
CI070,TRABALHO DE GRADUACAO EM EMGENHARIA DE SOFTWARE I,D,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,60,60,
CI070,TRABALHO DE GRADUACAO EM EMGENHARIA DE SOFTWARE I,E,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,3251,GILCELLY FERNANDA BAHL,2011 - Ciência da Computação,60,60,
